text,label,source_file,disk_type,capacity,drive_count,ports,protocol,speed,form_factor,mode,cable_type,length,fiber,slots,interface,connector
SmartDedupe Base License H710/H7100=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartDedupe Capacity License H710/H7100=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
HDFS for OneFS ($0.00),רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"ProSupport Plus Additional Software Support-Maintenance, 60 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale Hybrid Software - VP,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
OneFS Base License H710/H7100 12-20TB =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
OneFS Capacity H710/H7100=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"ProSupport Plus OneFS Hybrid Software Support-Maintenance, 60 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale Switches,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
Z9264F Dell Networking Switch,מתג,tyvrym-2.xlsx,,,,64 ports,,,,,,,,,,
Z9264 Series User Guide,מתג,tyvrym-2.xlsx,,,,64 ports,,,,,,,,,,
Z9264 Install Kit,מתג,tyvrym-2.xlsx,,,,64 ports,,,,,,,,,,
"OS10 Enterprise Software, Z9264F",מתג,tyvrym-2.xlsx,,,,64 ports,,,,,,,,,,
Parts Only Warranty 36 Months,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Extension, 24 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Initial, 36 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Keep Your Component For Enterprise, 60 Month(s)",אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Same Business Day Onsite Diagnosis Service, 60 Month(s)",אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
Accessories Virtual Base - VI,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PWCRD KIT for Deep Chassis,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Node Filler with Deep Sleds,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Node Filler with Deep Sleds,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
IB/100GbE/40GbE MPO to MPO - NO TRANSCEIVER 3M,ג'יביק,tyvrym-2.xlsx,,,,,ETH,40G/100G,,,,,,,,MPO
Transceivers/Optic/QSFP28/SR4/100GbE/Qty2,ג'יביק,tyvrym-2.xlsx,,,,,ETH,100G,QSFP28,,,,,,,
IB/100GbE/40GbE MPO to MPO - NO TRANSCEIVER 5M,ג'יביק,tyvrym-2.xlsx,,,,,ETH,40G/100G,,,,,,,,MPO
Transceivers/Optic/QSFP28/SR4/100GbE/Qty2,ג'יביק,tyvrym-2.xlsx,,,,,ETH,100G,QSFP28,,,,,,,
CABLE QSFP28 100Gb Active Optical 3M,כבל,tyvrym-2.xlsx,,,,,,100G,,,AOC,3m,,,,
CABLE QSFP28 100Gb Active Optical 7M,כבל,tyvrym-2.xlsx,,,,,,100G,,,AOC,7m,,,,
CABLE QSFP28 100Gb Active Optical 10M,כבל,tyvrym-2.xlsx,,,,,,100G,,,AOC,10m,,,,
CABLE QSFP28 100Gb Active Optical 30M,כבל,tyvrym-2.xlsx,,,,,,100G,,,AOC,30m,,,,
Transceivers/Optic/QSFP28/SR4/100GbE/Qty2,ג'יביק,tyvrym-2.xlsx,,,,,ETH,100G,QSFP28,,,,,,,
ISG Product (info),ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
C2G-10ft Cat6a Snagless Shielded (STP) Network Patch Cable - Gray,כבל,tyvrym-2.xlsx,,,,,,,,,Ethernet Patch,10ft,,,,
C2G-10ft Cat6a Snagless Shielded (STP) Network Patch Cable - Gray,כבל,tyvrym-2.xlsx,,,,,,,,,Ethernet Patch,10ft,,,,
C2G-15ft Cat6a Snagless Shielded (STP) Network Patch Cable - Gray,כבל,tyvrym-2.xlsx,,,,,,,,,Ethernet Patch,15ft,,,,
C2G-15ft Cat6a Snagless Shielded (STP) Network Patch Cable - Gray,כבל,tyvrym-2.xlsx,,,,,,,,,Ethernet Patch,15ft,,,,
C2G-30ft Cat6a Snagless Shielded (STP) Network Patch Cable - Black,כבל,tyvrym-2.xlsx,,,,,,,,,Ethernet Patch,30ft,,,,
C2G-30ft Cat6a Snagless Shielded (STP) Network Patch Cable - Black,כבל,tyvrym-2.xlsx,,,,,,,,,Ethernet Patch,30ft,,,,
Line Number Part Number Smart Account Mandatory Description Service Duration (Months) Estimated Lead Time (Days) Unit List Price Pricing Term Qty Unit Net Price Disc(%) Extended Net Price Description,רישוי ותמיכה,tyvrym-3.xlsx,,,,,,,,,,,,,,
Group Name: Nexus Switches + Optics 217331.29,אחר,tyvrym-3.xlsx,,,,,,,,,,,,,,
"1.0 N9K-C9332D-GX2B - Nexus 9300 Series, 32p 400G Switch --- 35 74782.15 2 14956.43 80 29912.86 Nexus 9300 Series, 32p 400G Switch",מתג,tyvrym-3.xlsx,,,,32 ports,,400G,,,,,,,,
1.0.1 CON-L1SNB-N9KC9D3X - ENH 8X5XSNBDCX LEVEL 1 8X5XNBD Nexus 9300 Series 32 60 23184 2 0 100 0 ENH 8X5XSNBDCX LEVEL 1 8X5XNBD Nexus 9300 Series 32,מתג,tyvrym-3.xlsx,,,,32 ports,,,,,,,,,,
"1.2 NXK-ACC-KIT-1RU A Nexus 3K/9K Fixed Accessory Kit,  1RU front and rear removal --- 14 0 2 0 80 0 Nexus 3K/9K Fixed Accessory Kit,  1RU front and rear removal",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"1.3 QDD-400-CU1M - 400G Passive Cable, 1m --- 17 1036.48 2 207.3 80 414.6 400G Passive Cable, 1m",כבל,tyvrym-3.xlsx,,,,,,,,,Fiber,1m,,,,
"1.4 C1E1TN9300XF2-5Y Yes Data Center Networking Essentials Term N9300 XF2, 5Y --- 3 43114.8 2 8623.2 80 17246.4 Data Center Networking Essentials Term N9300 XF2, 5Y",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"1.5 SVS-L1N9KE-XF2-5Y Yes Cisco Support Enhanced for DCN Essentials Term N9300 XF2, 5Y --- 3 0 2 0 80 0 Cisco Support Enhanced for DCN Essentials Term N9300 XF2, 5Y",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
1.6 DCN-ADOPT-BAS - Nexus(DCN) - Virtual adopt session http://cs.co/requestCSS --- 3 0 2 0 80 0 Nexus(DCN) - Virtual adopt session http://cs.co/requestCSS,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
1.7 NXK-AF-PE - Dummy PID for Airflow Selection Port-side Exhaust --- 14 0 2 0 80 0 Dummy PID for Airflow Selection Port-side Exhaust,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"1.8 NXOS-CS-10.6.1F Yes Nexus 9300, 9500, 9800 NX-OS SW 10.6.1 (64bit) Cisco Silicon --- 21 0 2 0 80 0 Nexus 9300, 9500, 9800 NX-OS SW 10.6.1 (64bit) Cisco Silicon",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"1.9 NXA-SFAN-35CFM-PE - Nexus Fan, 35CFM, port side exhaust airflow /w EEPROM --- 14 0 12 0 80 0 Nexus Fan, 35CFM, port side exhaust airflow /w EEPROM",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
1.10 NXA-PAC-1500W-PE - Nexus 1500W PSU port-side Exhaust --- 14 0 4 0 80 0 Nexus 1500W PSU port-side Exhaust,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"1.11 CAB-C15-CBN - Cabinet Jumper Power Cord, 250 VAC 13A, C14-C15 Connectors --- 7 0 4 0 80 0 Cabinet Jumper Power Cord, 250 VAC 13A, C14-C15 Connectors",כבל,tyvrym-3.xlsx,,,,,,,,,Power,,,,,
1.12 NXOS-SLP-INFO-9K - Info PID for Smart Licensing using Policy for N9K --- 21 0 2 0 80 0 Info PID for Smart Licensing using Policy for N9K,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"2.0 N9K-C9364D-GX2A - Nexus 9300 Series, 64p 400G Switch --- 14 155472.24 2 31094.45 80 62188.9 Nexus 9300 Series, 64p 400G Switch",מתג,tyvrym-3.xlsx,,,,64 ports,,400G,,,,,,,,
2.0.1 CON-L1SNB-N9K9364C - ENH 8X5XSNBDCX LEVEL 1 8X5XNBD Nexus 9300 Series 64 60 48202.25 2 0 100 0 ENH 8X5XSNBDCX LEVEL 1 8X5XNBD Nexus 9300 Series 64,מתג,tyvrym-3.xlsx,,,,64 ports,,,,,,,,,,
2.1 NXK-AF-PI - Dummy PID for Airflow Selection Port-side Intake --- 14 0 2 0 80 0 Dummy PID for Airflow Selection Port-side Intake,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"2.3 NXOS-CS-10.6.1F Yes Nexus 9300, 9500, 9800 NX-OS SW 10.6.1 (64bit) Cisco Silicon --- 21 0 2 0 80 0 Nexus 9300, 9500, 9800 NX-OS SW 10.6.1 (64bit) Cisco Silicon",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
2.4 NO-ACC-KIT - No Accessory kit Chosen --- 14 0 2 0 80 0 No Accessory kit Chosen,ציוד נלווה,tyvrym-3.xlsx,,,,,,,,,,,,,,
"2.5 NXASFAN-160CFM2PI - Nexus Fan, 160CFM2, port side intake airflow /w EEPROM --- 14 0 8 0 80 0 Nexus Fan, 160CFM2, port side intake airflow /w EEPROM",ציוד נלווה,tyvrym-3.xlsx,,,,,,,,,,,,,,
2.6 MEM-UPG-OPT-OUT - OPT OUT PID FOR MEM UPGRADE USE ONLY --- 14 0 2 0 80 0 OPT OUT PID FOR MEM UPGRADE USE ONLY,ציוד נלווה,tyvrym-3.xlsx,,,,,,,,,,,,,,
"2.7 NXA-PAC-3200W-PI - Nexus 9000 3200W Power Supply, Port-side Intake --- 14 0 4 0 80 0 Nexus 9000 3200W Power Supply, Port-side Intake",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"2.8 CAB-C19-CBN - Cabinet Jumper Power Cord, 250 VAC 16A, C20-C19 Connectors --- 21 0 4 0 80 0 Cabinet Jumper Power Cord, 250 VAC 16A, C20-C19 Connectors",כבל,tyvrym-3.xlsx,,,,,,,,,Power,,,,,
"2.9 NXK-ACC-KIT2-2RU - Nexus 9K Fixed Accessory Kit, 2RU front and rear removal --- 14 0 2 0 80 0 Nexus 9K Fixed Accessory Kit, 2RU front and rear removal",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
2.10 NXOS-SLP-INFO-9K - Info PID for Smart Licensing using Policy for N9K --- 21 0 2 0 80 0 Info PID for Smart Licensing using Policy for N9K,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
2.11 NXA-ACC-QDD-DC - Nexus Dust Cover for QDD ports --- 14 0 2 0 80 0 Nexus Dust Cover for QDD ports,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"2.13 C1E1TN9300XF2-5Y Yes Data Center Networking Essentials Term N9300 XF2, 5Y --- 3 43114.8 2 8623.2 80 17246.4 Data Center Networking Essentials Term N9300 XF2, 5Y",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"2.14 SVS-L1N9KE-XF2-5Y Yes Cisco Support Enhanced for DCN Essentials Term N9300 XF2, 5Y --- 3 0 2 0 80 0 Cisco Support Enhanced for DCN Essentials Term N9300 XF2, 5Y",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
3.0 N9K-C93108TC-FX3 - Nexus 9300 with 48p 100M/1/10GT & 6p 40/100G QSFP28+ --- 14 31094.45 1 6218.89 80 6218.89 Nexus 9300 with 48p 100M/1/10GT & 6p 40/100G QSFP28+,מתג,tyvrym-3.xlsx,,,,48 ports,ETH,100G,,,,,,,,
3.0.1 CON-L1SNB-N9KTCFX3 - ENH 8X5XSNBDCX LEVEL 1 8X5XNBD Nexus 9300 with 48p 1 60 9642.75 1 0 100 0 ENH 8X5XSNBDCX LEVEL 1 8X5XNBD Nexus 9300 with 48p 1,מתג,tyvrym-3.xlsx,,,,48 ports,,,,,,,,,,
3.1 NXK-AF-PI - Dummy PID for Airflow Selection Port-side Intake --- 14 0 1 0 80 0 Dummy PID for Airflow Selection Port-side Intake,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"3.3 NXOS-CS-10.6.1F Yes Nexus 9300, 9500, 9800 NX-OS SW 10.6.1 (64bit) Cisco Silicon --- 21 0 1 0 80 0 Nexus 9300, 9500, 9800 NX-OS SW 10.6.1 (64bit) Cisco Silicon",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"3.4 NXA-SFAN-35CFM-PI - Nexus Fan, 35CFM, port side intake airflow /w EEPROM --- 14 0 4 0 80 0 Nexus Fan, 35CFM, port side intake airflow /w EEPROM",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
3.5 MEM-UPG-OPT-OUT - OPT OUT PID FOR MEM UPGRADE USE ONLY --- 14 0 1 0 80 0 OPT OUT PID FOR MEM UPGRADE USE ONLY,ציוד נלווה,tyvrym-3.xlsx,,,,,,,,,,,,,,
3.6 NXA-PAC-500W-PI - Nexus NEBs AC 500W PSU -  Port Side Intake --- 14 0 2 0 80 0 Nexus NEBs AC 500W PSU -  Port Side Intake,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"3.7 CAB-C13-C14-AC - Power cord, C13 to C14 (recessed receptacle), 10A --- 14 0 2 0 80 0 Power cord, C13 to C14 (recessed receptacle), 10A",כבל,tyvrym-3.xlsx,,,,,,,,,Power,,,,,
"3.8 NXK-ACC-KIT-1RU - Nexus 3K/9K Fixed Accessory Kit,  1RU front and rear removal --- 14 0 1 0 80 0 Nexus 3K/9K Fixed Accessory Kit,  1RU front and rear removal",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"3.9 QSFP-100G-AOC2M - 100GBASE QSFP Active Optical Cable, 2m --- 17 2433.79 2 486.76 80 973.52 100GBASE QSFP Active Optical Cable, 2m",כבל,tyvrym-3.xlsx,,,,,,100G,,,AOC,2m,,,,
3.10 NXOS-SLP-INFO-9K - Info PID for Smart Licensing using Policy for N9K --- 21 0 1 0 80 0 Info PID for Smart Licensing using Policy for N9K,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"3.12 C1E1TN9300XF-5Y Yes Data Center Networking Essentials Term N9300 XF, 5Y --- 3 25869.6 1 5173.8 80 5173.8 Data Center Networking Essentials Term N9300 XF, 5Y",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"3.13 SVS-L1N9KE-XF-5Y Yes Cisco Support Enhanced for DCN Essentials Term N9300 XF, 5Y --- 3 0 1 0 80 0 Cisco Support Enhanced for DCN Essentials Term N9300 XF, 5Y",מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
3.14 DCN-ADOPT-BAS - Nexus(DCN) - Virtual adopt session http://cs.co/requestCSS --- 3 0 1 0 80 0 Nexus(DCN) - Virtual adopt session http://cs.co/requestCSS,מתג,tyvrym-3.xlsx,,,,,,,,,,,,,,
"4.0 QSFP-100G-AOC2M= - 100GBASE QSFP Active Optical Cable, 2m --- 17 2433.79 36 292.05 88 10513.8 100GBASE QSFP Active Optical Cable, 2m",כבל,tyvrym-3.xlsx,,,,,,100G,,,AOC,2m,,,,
"5.0 QDD-2Q200-CU3M= - 400G QSFP56-DD to 2x200G QSFP56 Copper Breakout Cable, 3m --- 17 1554.72 18 217.66 86 3917.88 400G QSFP56-DD to 2x200G QSFP56 Copper Breakout Cable, 3m",כבל,tyvrym-3.xlsx,,,,,,,,,Breakout,3m,,,,
"6.0 QDD-400G-SR8-S= - 400G QSFP-DD Transceiver, MPO-16 APC, 100m OM4 MMF --- 17 6218.89 18 870.64 86 15671.52 400G QSFP-DD Transceiver, MPO-16 APC, 100m OM4 MMF",ג'יביק,tyvrym-3.xlsx,,,,,,400G,QSFP,MMF,,,,,,MPO
"7.0 QSFP-200G-SR4-S= - 200GBASE SR4 QSFP56 Transceiver, MPO, 100m over OM4 MMF --- 17 3109.44 36 435.32 86 15671.52 200GBASE SR4 QSFP56 Transceiver, MPO, 100m over OM4 MMF",ג'יביק,tyvrym-3.xlsx,,,,,,200G,QSFP,MMF,,,,,,MPO
Spine/Leaf optics,אחר,tyvrym-3.xlsx,,,,,,,,,,,,,,
"8.0 QDD-400G-DR4-S= - 400G QSFP-DD Transceiver, 400GBASE-DR4,MPO-12,500m parallel --- 17 5182.41 40 725.54 86 29021.6 400G QSFP-DD Transceiver, 400GBASE-DR4,MPO-12,500m parallel",ג'יביק,tyvrym-3.xlsx,,,,,,400G,QSFP,,,,,,,MPO
Spine/Leaf SMF cables,כבל,tyvrym-3.xlsx,,,,,,,,,Fiber,,SMF,,,
"9.0 CB-M12-M12-SMF3M= - CABLE, MPO12-MPO12, TRUNK CABLE, TYPE B, SMF, 3M --- 17 1579.82 20 157.98 90 3159.6 CABLE, MPO12-MPO12, TRUNK CABLE, TYPE B, SMF, 3M",כבל,tyvrym-3.xlsx,,,,,,,,,Fiber,3m,SMF,,,
PowerFlex R660 appliance and custom node - [AMER_POWERFLEX_R660_18156_VP],שרת אחסון,tyvrym-4.xlsx,,,,,,,,,,,,,,
PowerFlex R660 appliance Base,שרת אחסון,tyvrym-4.xlsx,,,,,,,,,,,,,,
Luggage tag - PowerFlex R660 appliance,שרת אחסון,tyvrym-4.xlsx,,,,,,,,,,,,,,
PowerFlex appliance R660 Storage Only IDM,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
SDPM Setup,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
"Intel Xeon Gold 6426Y 2.5G, 16C/32T, 16GT/s, 37.5M Cache, Turbo, HT (185W) DDR5-4800",ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"Intel Xeon Gold 6426Y 2.5G, 16C/32T, 16GT/s, 37.5M Cache, Turbo, HT (185W) DDR5-4800",ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
Additional Processor Selected,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
Standard Heatsink for 2 CPU configuration (CPU less than or equal to 185W),ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
4 Very High Performance Fans,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
5600MT/s RDIMMs,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"32GB RDIMM, 5600MT/s, Dual Rank - HCI",ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"2.5"" Chassis with up to 10 NVMe Drives, SDPM, 2 CPU, No PERC Controller",ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"C30, No RAID for NVME chassis",אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
No Controller,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
Software Defined Persistent Memory (SDPM) with one 7450 m.2 drive (22x80) - HCI,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
Medium Granularity (MG),ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
No Hard Drive,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
15.36TB Enterprise NVMe Read Intensive AG Drive U.2 Gen4 with Carrier - HCI,דיסק,tyvrym-4.xlsx,NVMe,15.36TB,,,,,,,,,,,,
"Riser Config 2, Low Profile 3x16 LP Slots (2xLP Gen5 + 1xLP Gen4)",כרטיסיה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"Nvidia ConnectX-6 Lx Dual Port 10/25GbE SFP28, No Crypto, OCP NIC 3.0",כרטיסיה,tyvrym-4.xlsx,,,,,ETH,25G,,,,,,,,
LOM Blank,כרטיסיה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"Nvidia ConnectX-6 Lx Dual Port 10/25GbE SFP28, No Crypto, PCIe Low Profile",כרטיסיה,tyvrym-4.xlsx,,,,,ETH,25G,,,,,,,,
"Dual, Redundant(1+1),Hot-Plug Power Supply,1400W MM, Titanium",ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"C13 to C14, PDU Style, 12 AMP, 6.5 Feet (2m) Power Cord, North America",כבל,tyvrym-4.xlsx,,,,,,,,,Power,2m,,,,
Bezel - PowerFlex 1U,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
Cable Management Arm,כבל,tyvrym-4.xlsx,,,,,,,,,Fiber,,,,,
ReadyRails Sliding Rails (A15),ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
BOSS-N1 controller card +  with 2 M.2 960GB (RAID 1),דיסק,tyvrym-4.xlsx,,960GB,,,,,,,,,,,,
BOSS Cables and Bracket for R660,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"iDRAC9, Enterprise 16G",אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
Secured Component Verification,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
Trusted Platform Module 2.0 V6,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"Dell Networking, Transceiver, 25GbE SFP28 SR, No FEC, MMF, Duplex LC",ג'יביק,tyvrym-4.xlsx,,,,,ETH,25G,SFP28,MMF,,,,,,LC
PowerEdge R660 Shipping,שרת אחסון,tyvrym-4.xlsx,,,,,,,,,,,,,,
Performance BIOS Settings,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"No Systems Documentation, No OpenManage DVD Kit",ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"PowerEdge R660 CE Marking, No CCC Marking",שרת אחסון,tyvrym-4.xlsx,,,,,,,,,,,,,,
UEFI BIOS Boot Mode with GPT Partition,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"iDRAC Group Manager, Disabled",ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
Performance Optimized,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
Motherboard MLK supports ALL CPUs and is required for CPUs 250W and above,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
No Operating System,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
No Quick Sync,ציוד נלווה,tyvrym-4.xlsx,,,,,,,,,,,,,,
iDRAC Legacy Password for OCP cards,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
"PowerEdge R660 Shipping Material, 10x2.5"", 8x2.5"" Smart Flow or 16xEDSFF",שרת אחסון,tyvrym-4.xlsx,,,,,,,,,,,,,,
Basic Next Business Day 36 Months,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
"ProSupport Plus and 4Hr Mission Critical Initial, 36 Month(s)",רישוי ותמיכה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"ProSupport Plus and 4Hr Mission Critical Extension, 24 Month(s)",רישוי ותמיכה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"Keep Your Component For Enterprise, 60 Month(s)",אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
"Same Business Day Onsite Diagnosis Service, 60 Month(s)",אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
Certified Deployment Partner T2,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
None Required,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
PowerFlex - Solution Type,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
PowerFlex Solution ID - appliance,אחר,tyvrym-4.xlsx,,,,,,,,,,,,,,
"ProSupport Plus PowerFlex Sftwr Spt-Maint, 60 Month(s)",רישוי ותמיכה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"PowerFlex, SWaA Base, Standard Subscription",רישוי ותמיכה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"PowerFlex, 1TB, Standard Subscription, 60MO, =CB",רישוי ותמיכה,tyvrym-4.xlsx,,,,,,,,,,,,,,
"ProSupport Plus PowerFlex Standard Sub Sftwr Spt-Maint, 60 Month(s)",רישוי ותמיכה,tyvrym-4.xlsx,,,,,,,,,,,,,,
C2G-10ft Cat6a Snagless Shielded (STP) Network Patch Cable - Gray,כבל,tyvrym-4.xlsx,,,,,,,,,Ethernet Patch,10ft,,,,
C2G-10ft Cat6a Snagless Shielded (STP) Network Patch Cable - Gray,כבל,tyvrym-4.xlsx,,,,,,,,,Ethernet Patch,10ft,,,,
"Dell Networking Cable, OM4 LC/LC  Fiber Cable, (Optics required), 3 Meter, Customer kit",כבל,tyvrym-4.xlsx,,,,,,,,,LC-LC,,OM4/MMF,,,
Dell Networking OM4 LC - LC Fiber Optic Cable (Optics Required) - 3meter,כבל,tyvrym-4.xlsx,,,,,,,,,Fiber,,OM4/MMF,,,
AFF A90 HA System,שרת אחסון,tyvrym-5.xlsx,,,,,,,,,,,,,,
AFF A90 System Serial Attached,אחר,tyvrym-5.xlsx,,,,,,,,,,,,,,
"AFF A90 HA System,-C",שרת אחסון,tyvrym-5.xlsx,,,,,,,,,,,,,,
"SW,ONTAP DSR,IPA,Data at Rest Encrypt Capable",רישוי ותמיכה,tyvrym-5.xlsx,,,,,,,,,,,,,,
"Drive Pack 2X15.3TB,NVMe4,SED,-C",דיסק,tyvrym-5.xlsx,NVMe,15.3TB,2,,,,,,,,,,,
"IO Module,4PT,FC,Target,w/SFP,-C",כרטיסיה,tyvrym-5.xlsx,,,,4 ports,FC,,,,,,,,,
"IO Module,4PT,10/25GbE,-C",כרטיסיה,tyvrym-5.xlsx,,,,4 ports,ETH,25G,,,,,,,,
"IO Module,2PT,100GbE,-C",כרטיסיה,tyvrym-5.xlsx,,,,2 ports,ETH,100G,,,,,,,,
"Cable,Cntlr-Switch OM4,MPO/MPO,5m,-C",כבל,tyvrym-5.xlsx,,,,,,,,,MPO-MPO,5m,OM4/MMF,,,
"Cable,LC-LC,OM4,5m,-C",כבל,tyvrym-5.xlsx,,,,,,,,,LC-LC,5m,OM4/MMF,,,
"QSFP28,100GbE,SR,-C",ג'יביק,tyvrym-5.xlsx,,,,,ETH,100G,QSFP28,MMF,,,,,,
"SFP28,25GbE,SR,-C",ג'יביק,tyvrym-5.xlsx,,,,,ETH,25G,SFP28,MMF,,,,,,
"Rail Kit,4-Post,Rnd/Sq-Hole,Adj,24-32,-C",ציוד נלווה,tyvrym-5.xlsx,,,,,,,,,,,,,,
"Jumper Crd,In-Cab,C13-C14,-C",כבל,tyvrym-5.xlsx,,,,,,,,,Power,,,,,
"BLANK,DSK DRV FILLER,NS224,-C",מדף דיסקים,tyvrym-5.xlsx,,,,,,,,,,,,24 slots,,
"Power Supply,2000W Titanium,-C",ציוד נלווה,tyvrym-5.xlsx,,,,,,,,,,,,,,
"Blanking Panel,IO Module",ציוד נלווה,tyvrym-5.xlsx,,,,,,,,,,,,,,
Platform Personality DNA,רישוי ותמיכה,tyvrym-5.xlsx,,,,,,,,,,,,,,
2-Node Switchless Cluster,אחר,tyvrym-5.xlsx,,,,,,,,,,,,,,
Card for HA and can also include Cluster,אחר,tyvrym-5.xlsx,,,,,,,,,,,,,,
Data at Rest Encryption Capable Operating Sys,רישוי ותמיכה,tyvrym-5.xlsx,,,,,,,,,,,,,,
Multipath configuration,אחר,tyvrym-5.xlsx,,,,,,,,,,,,,,
"SW,ONTAP One Package,Encryption,-C",רישוי ותמיכה,tyvrym-5.xlsx,,,,,,,,,,,,,,
